Message ID,Source Vehicle,Destination Vehicle,Message Type,Message Content,Priority,Spam
860,Car K,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
861,Car L,Car M,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
862,Car N,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
863,Car O,Car P,Emergency,Test emergency message,High,No
864,Car Q,All Vehicles,Weather,Severe thunderstorm warning,High,No
865,Car R,Car S,Hazard,"Debris on the road, use caution",Medium,No
866,Car T,All Vehicles,Roadwork,Road resurfacing in progress,Medium,No
867,Car U,Car V,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
868,Car W,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
869,Car X,Car Y,Emergency,Report any suspicious activities on the highway,High,No
870,Car Z,All Vehicles,Weather,Severe thunderstorm warning,High,No
871,Car A,Car B,Hazard,"Slippery road conditions, reduce speed",Medium,No
872,Car C,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
873,Car D,Car E,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
874,Car F,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
875,Car G,Car H,Emergency,Test emergency message,High,No
876,Car I,All Vehicles,Weather,Severe thunderstorm warning,High,No
877,Car J,Car K,Hazard,"Debris on the road, use caution",Medium,No
878,Car L,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
879,Car M,Car N,Spam,Exclusive offer - Get 50% off on all products!,Low,Yes
880,Car O,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
881,Car P,Car Q,Emergency,"Hazardous material spill, use caution",High,No
882,Car R,All Vehicles,Weather,Severe thunderstorm warning,High,No
883,Car S,Car T,Hazard,"Debris on the road, use caution",Medium,No
884,Car U,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
885,Car V,Car W,Spam,Exclusive offer - 20% off on all products!,Low,Yes
886,Car X,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
887,Car Y,Car Z,Emergency,Report any suspicious activities on the highway,High,No
888,Car A,All Vehicles,Weather,Severe thunderstorm warning,High,No
889,Car B,Car C,Hazard,"Slippery road conditions, reduce speed",Medium,No
890,Car D,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
891,Car E,Car F,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
892,Car G,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
893,Car H,Car I,Emergency,Test emergency message,High,No
894,Car J,All Vehicles,Weather,Severe thunderstorm warning,High,No
895,Car K,Car L,Hazard,"Debris on the road, use caution",Medium,No
896,Car M,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
897,Car N,Car O,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
898,Car P,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
899,Car Q,Car R,Emergency,Report any suspicious activities on the highway,High,No
900,Car S,All Vehicles,Weather,Severe thunderstorm warning,High,No
901,Car T,Car U,Hazard,"Slippery road conditions, reduce speed",Medium,No
902,Car V,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
903,Car W,Car X,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
904,Car Y,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
905,Car Z,Car A,Emergency,Test emergency message,High,No
906,Car B,All Vehicles,Weather,Severe thunderstorm warning,High,No
907,Car C,Car D,Hazard,"Debris on the road, use caution",Medium,No
908,Car E,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
909,Car F,Car G,Spam,Exclusive offer - Get 50% off on all products!,Low,Yes
910,Car H,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
911,Car I,Car J,Emergency,"Hazardous material spill, use caution",High,No
912,Car K,All Vehicles,Weather,Severe thunderstorm warning,High,No
913,Car L,Car M,Hazard,"Debris on the road, use caution",Medium,No
914,Car N,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
915,Car O,Car P,Spam,Exclusive offer - 20% off on all products!,Low,Yes
916,Car Q,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
917,Car R,Car S,Emergency,Report any suspicious activities on the highway,High,No
918,Car T,All Vehicles,Weather,Severe thunderstorm warning,High,No
919,Car U,Car V,Hazard,"Slippery road conditions, reduce speed",Medium,No
920,Car W,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
921,Car X,Car Y,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
922,Car Z,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
923,Car A,Car B,Emergency,Test emergency message,High,No
924,Car C,All Vehicles,Weather,Severe thunderstorm warning,High,No
925,Car D,Car E,Hazard,"Debris on the road, use caution",Medium,No
926,Car F,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
927,Car G,Car H,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
928,Car I,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
929,Car J,Car K,Emergency,Report any suspicious activities on the highway,High,No
930,Car L,All Vehicles,Weather,Severe thunderstorm warning,High,No
931,Car M,Car N,Hazard,"Slippery road conditions, reduce speed",Medium,No
932,Car O,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
933,Car P,Car Q,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
934,Car R,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
935,Car S,Car T,Emergency,Test emergency message,High,No
936,Car U,All Vehicles,Weather,Severe thunderstorm warning,High,No
937,Car V,Car W,Hazard,"Debris on the road, use caution",Medium,No
938,Car X,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
939,Car Y,Car Z,Spam,Exclusive offer - Get 50% off on all products!,Low,Yes
940,Car A,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
941,Car B,Car C,Emergency,"Hazardous material spill, use caution",High,No
942,Car D,All Vehicles,Weather,Severe thunderstorm warning,High,No
943,Car E,Car F,Hazard,"Debris on the road, use caution",Medium,No
944,Car G,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
945,Car H,Car I,Spam,Exclusive offer - 20% off on all products!,Low,Yes
946,Car J,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
947,Car K,Car L,Emergency,Report any suspicious activities on the highway,High,No
948,Car M,All Vehicles,Weather,Severe thunderstorm warning,High,No
949,Car N,Car O,Hazard,"Slippery road conditions, reduce speed",Medium,No
950,Car P,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
951,Car Q,Car R,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
952,Car S,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
953,Car T,Car U,Emergency,Test emergency message,High,No
954,Car V,All Vehicles,Weather,Severe thunderstorm warning,High,No
955,Car W,Car X,Hazard,"Debris on the road, use caution",Medium,No
956,Car Y,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
957,Car Z,Car A,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
958,Car B,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
959,Car C,Car D,Emergency,Report any suspicious activities on the highway,High,No
960,Car E,All Vehicles,Weather,Severe thunderstorm warning,High,No
961,Car F,Car G,Hazard,"Slippery road conditions, reduce speed",Medium,No
962,Car H,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
963,Car I,Car J,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
964,Car K,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
965,Car L,Car M,Emergency,"Hazardous material spill, use caution",High,No
966,Car N,All Vehicles,Weather,Severe thunderstorm warning,High,No
967,Car O,Car P,Hazard,"Debris on the road, use caution",Medium,No
968,Car Q,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
969,Car R,Car S,Spam,Exclusive offer - 20% off on all products!,Low,Yes
970,Car T,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
971,Car U,Car V,Emergency,Report any suspicious activities on the highway,High,No
972,Car W,All Vehicles,Weather,Severe thunderstorm warning,High,No
973,Car X,Car Y,Hazard,"Slippery road conditions, reduce speed",Medium,No
974,Car Z,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
975,Car A,Car B,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
976,Car C,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
977,Car D,Car E,Emergency,Test emergency message,High,No
978,Car F,All Vehicles,Weather,Severe thunderstorm warning,High,No
979,Car G,Car H,Hazard,"Debris on the road, use caution",Medium,No
980,Car I,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
981,Car J,Car K,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
982,Car L,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
983,Car M,Car N,Emergency,Report any suspicious activities on the highway,High,No
984,Car O,All Vehicles,Weather,Severe thunderstorm warning,High,No
985,Car P,Car Q,Hazard,"Slippery road conditions, reduce speed",Medium,No
986,Car R,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
987,Car S,Car T,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
988,Car U,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
989,Car V,Car W,Emergency,"Hazardous material spill, use caution",High,No
990,Car X,All Vehicles,Weather,Severe thunderstorm warning,High,No
991,Car Y,Car Z,Hazard,"Debris on the road, use caution",Medium,No
992,Car A,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
993,Car B,Car C,Spam,Exclusive offer - 20% off on all products!,Low,Yes
994,Car D,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
995,Car E,Car F,Emergency,Report any suspicious activities on the highway,High,No
996,Car G,All Vehicles,Weather,Severe thunderstorm warning,High,No
997,Car H,Car I,Hazard,"Slippery road conditions, reduce speed",Medium,No
998,Car J,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
999,Car K,Car L,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
1000,Car M,All Vehicles,Traffic,Heavy traffic reported on Highway 789,High,No
1001,Car N,Car O,Emergency,Test emergency message,High,No
1002,Car P,All Vehicles,Weather,Severe thunderstorm warning,High,No
1003,Car Q,Car R,Hazard,"Debris on the road, use caution",Medium,No
1004,Car S,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
1005,Car T,Car U,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
1006,Car V,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
1007,Car W,Car X,Emergency,Report any suspicious activities on the highway,High,No
1008,Car Y,All Vehicles,Weather,Severe thunderstorm warning,High,No
1009,Car Z,Car A,Hazard,"Slippery road conditions, reduce speed",Medium,No
1010,Car B,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
1011,Car C,Car D,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
1012,Car E,All Vehicles,Traffic,Heavy traffic reported on Highway 123,High,No
